label,kind,threads,host_GB,time_limit_s,gpu,args
stagegreens_l0p25_sep1ss4,stage_greens,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p25_sep1ss4,stage_rsvd,4,18,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p25_sep1ss4,stage_bounds,4,18,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l0p25_sep0ss1,stage_greens,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagersvd_l0p25_sep0ss1,stage_rsvd,4,18,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagebounds_l0p25_sep0ss1,stage_bounds,4,18,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagegreens_l0p5_sep1ss4,stage_greens,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p5_sep1ss4,stage_rsvd,4,22,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p5_sep1ss4,stage_bounds,4,22,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l0p5_sep0ss1,stage_greens,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagersvd_l0p5_sep0ss1,stage_rsvd,4,22,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagebounds_l0p5_sep0ss1,stage_bounds,4,22,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagegreens_l0p75_sep1ss4,stage_greens,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p75_sep1ss4,stage_rsvd,4,32,4901,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p75_sep1ss4,stage_bounds,4,32,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l1_sep1ss4,stage_greens,4,8,3600,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l1_sep1ss4,stage_rsvd,4,90,23667,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l1_sep1ss4,stage_bounds,4,90,28642,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l2agiso_sep1ss4,stage_greens,4,8,3600,0,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
