label,kind,threads,host_GB,time_limit_s,gpu,args
g0uu_l2agiso,g0_multiregion,4,8,5072,0,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
g0self_l3aniso,g0_self,4,8,6092,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l3aniso_sep0ss1,g0_ext,4,8,4178,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l3aniso_sep1ss32,g0_ext,4,8,6092,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//32"
g0ext_l3aniso_sep1ss4,g0_ext,4,8,6092,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l3aniso_sep1ss1,g0_ext,4,8,6092,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//1"
g0ext_l3aniso_sep1000ss1,g0_ext,4,8,6092,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l3aniso,g0_multiregion,4,8,6092,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
g0self_l4aniso,g0_self,4,8,7123,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l4aniso_sep0ss1,g0_ext,4,8,4424,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l4aniso_sep1ss32,g0_ext,4,8,7123,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//32"
g0ext_l4aniso_sep1ss4,g0_ext,4,8,7123,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l4aniso_sep1ss1,g0_ext,4,8,7123,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//1"
g0ext_l4aniso_sep1000ss1,g0_ext,4,8,7123,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l4aniso,g0_multiregion,4,8,7123,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
g0self_l2iso,g0_self,4,8,11319,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l2iso_sep0ss1,g0_ext,4,8,5407,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 0//1"
g0ext_l2iso_sep1ss32,g0_ext,4,8,11319,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//32"
g0ext_l2iso_sep1ss4,g0_ext,4,8,11319,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
g0ext_l2iso_sep1ss1,g0_ext,4,8,11319,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//1"
g0ext_l2iso_sep1000ss1,g0_ext,4,8,11319,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1000//1"
g0uu_l2iso,g0_multiregion,4,8,11319,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
g0threads_l1_t1,g0_ext,1,8,5657,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
g0threads_l1_t2,g0_ext,2,8,4599,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
g0threads_l1_t4,g0_ext,4,8,4070,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
g0threads_l1_t8,g0_ext,8,8,3806,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
mvself_l0p25,matvec_self,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l0p25,matvec_ext,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l0p25,matvec_uu,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l0p5,matvec_self,4,8,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l0p5,matvec_ext,4,8,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l0p5,matvec_uu,4,8,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l0p75,matvec_self,4,8,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l0p75,matvec_ext,4,8,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l0p75,matvec_uu,4,8,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l1,matvec_self,4,8,4070,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l1,matvec_ext,4,8,4070,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l1,matvec_uu,4,8,4070,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l2agiso,matvec_self,4,8,5072,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l2agiso,matvec_ext,4,8,5072,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l2agiso,matvec_uu,4,8,5072,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l3aniso,matvec_self,4,8,6092,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l3aniso,matvec_ext,4,8,6092,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l3aniso,matvec_uu,4,8,6092,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l4aniso,matvec_self,4,8,7123,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l4aniso,matvec_ext,4,8,7123,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l4aniso,matvec_uu,4,8,7123,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvself_l2iso,matvec_self,4,8,11319,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvext_l2iso,matvec_ext,4,8,11319,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
mvuu_l2iso,matvec_uu,4,8,11319,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --reps 20"
dense_l0p25_c128,dense,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 3072 --dense-c 128 --reps 12"
dense_l0p25_c512,dense,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 3072 --dense-c 512 --reps 12"
dense_l0p25_c1400,dense,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 3072 --dense-c 1400 --reps 12"
dense_l0p25_c2800,dense,4,8,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 3072 --dense-c 2800 --reps 12"
dense_l0p5_c128,dense,4,8,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 24576 --dense-c 128 --reps 12"
dense_l0p5_c512,dense,4,8,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 24576 --dense-c 512 --reps 12"
dense_l0p5_c1400,dense,4,8,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 24576 --dense-c 1400 --reps 12"
dense_l0p5_c2800,dense,4,12,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 24576 --dense-c 2800 --reps 12"
dense_l0p75_c128,dense,4,8,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 82944 --dense-c 128 --reps 12"
dense_l0p75_c512,dense,4,8,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 82944 --dense-c 512 --reps 12"
dense_l0p75_c1400,dense,4,15,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 82944 --dense-c 1400 --reps 12"
dense_l0p75_c2800,dense,4,27,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 82944 --dense-c 2800 --reps 12"
dense_l1_c128,dense,4,8,3600,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 196608 --dense-c 128 --reps 12"
dense_l1_c512,dense,4,14,3600,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 196608 --dense-c 512 --reps 12"
dense_l1_c1400,dense,4,29,3600,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 196608 --dense-c 1400 --reps 12"
dense_l1_c2800,dense,4,55,3600,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 196608 --dense-c 2800 --reps 12"
dense_l2agiso_c128,dense,4,9,3600,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 393216 --dense-c 128 --reps 12"
dense_l2agiso_c512,dense,4,23,3600,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 393216 --dense-c 512 --reps 12"
dense_l2agiso_c1400,dense,4,54,3600,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 393216 --dense-c 1400 --reps 12"
dense_l3aniso_c128,dense,4,11,3600,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 589824 --dense-c 128 --reps 12"
dense_l3aniso_c512,dense,4,32,3600,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 589824 --dense-c 512 --reps 12"
dense_l4aniso_c128,dense,4,14,3600,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 786432 --dense-c 128 --reps 12"
dense_l4aniso_c512,dense,4,41,3600,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 786432 --dense-c 512 --reps 12"
