sep_num,sep_den,sep,kept,stored,total,gamma_rtol,h5_bytes,jld
14087,32,440.21875,27,1944,4000,1e-12,6370102506,32x32x32__32x32x32__14087ss32__RS.jld
14525,32,453.90625,25,1966,4000,1e-12,6370102506,32x32x32__32x32x32__14525ss32__RS.jld
468,1,468,39,1947,4000,1e-12,6370102506,32x32x32__32x32x32__468ss1__RS.jld
7721,16,482.5625,41,1852,4000,1e-12,6370102506,32x32x32__32x32x32__7721ss16__RS.jld
7961,16,497.5625,29,2047,4000,1e-12,8493468906,32x32x32__32x32x32__7961ss16__RS.jld
16417,32,513.03125,38,1877,4000,1e-12,6370102506,32x32x32__32x32x32__16417ss32__RS.jld
529,1,529,34,1771,4000,1e-12,6370102506,32x32x32__32x32x32__529ss1__RS.jld
8727,16,545.4375,45,1909,4000,1e-12,6370102506,32x32x32__32x32x32__8727ss16__RS.jld
17997,32,562.40625,33,1958,4000,1e-12,6370102506,32x32x32__32x32x32__17997ss32__RS.jld
4639,8,579.875,41,1976,4000,1e-12,6370102506,32x32x32__32x32x32__4639ss8__RS.jld
19133,32,597.90625,34,1885,4000,1e-12,6370102506,32x32x32__32x32x32__19133ss32__RS.jld
1233,2,616.5,34,1858,4000,1e-12,6370102506,32x32x32__32x32x32__1233ss2__RS.jld
20341,32,635.65625,33,1840,4000,1e-12,6370102506,32x32x32__32x32x32__20341ss32__RS.jld
10487,16,655.4375,22,1832,4000,1e-12,6370102506,32x32x32__32x32x32__10487ss16__RS.jld
10813,16,675.8125,28,1839,4000,1e-12,6370102506,32x32x32__32x32x32__10813ss16__RS.jld
11149,16,696.8125,25,1869,4000,1e-12,6370102506,32x32x32__32x32x32__11149ss16__RS.jld
1437,2,718.5,38,1919,4000,1e-12,6370102506,32x32x32__32x32x32__1437ss2__RS.jld
11853,16,740.8125,47,1902,4000,1e-12,6370102506,32x32x32__32x32x32__11853ss16__RS.jld
24443,32,763.84375,41,1701,4000,1e-12,6370102506,32x32x32__32x32x32__24443ss32__RS.jld
25203,32,787.59375,48,1906,4000,1e-12,6370102506,32x32x32__32x32x32__25203ss32__RS.jld
25987,32,812.09375,29,1853,4000,1e-12,6370102506,32x32x32__32x32x32__25987ss32__RS.jld
26795,32,837.34375,32,1985,4000,1e-12,6370102506,32x32x32__32x32x32__26795ss32__RS.jld
6907,8,863.375,26,1934,4000,1e-12,6370102506,32x32x32__32x32x32__6907ss8__RS.jld
28487,32,890.21875,38,1833,4000,1e-12,6370102506,32x32x32__32x32x32__28487ss32__RS.jld
29373,32,917.90625,26,1866,4000,1e-12,6370102506,32x32x32__32x32x32__29373ss32__RS.jld
15143,16,946.4375,47,1937,4000,1e-12,6370102506,32x32x32__32x32x32__15143ss16__RS.jld
7807,8,975.875,45,1925,4000,1e-12,6370102506,32x32x32__32x32x32__7807ss8__RS.jld
32199,32,1006.21875,40,1924,4000,1e-12,6370102506,32x32x32__32x32x32__32199ss32__RS.jld
2075,2,1037.5,42,1895,4000,1e-12,6370102506,32x32x32__32x32x32__2075ss2__RS.jld
4279,4,1069.75,40,1814,4000,1e-12,6370102506,32x32x32__32x32x32__4279ss4__RS.jld
35297,32,1103.03125,25,2051,4000,1e-12,8493468906,32x32x32__32x32x32__35297ss32__RS.jld
18197,16,1137.3125,33,1821,4000,1e-12,6370102506,32x32x32__32x32x32__18197ss16__RS.jld
18763,16,1172.6875,38,1985,4000,1e-12,6370102506,32x32x32__32x32x32__18763ss16__RS.jld
9673,8,1209.125,30,1846,4000,1e-12,6370102506,32x32x32__32x32x32__9673ss8__RS.jld
39895,32,1246.71875,29,1828,4000,1e-12,6370102506,32x32x32__32x32x32__39895ss32__RS.jld
2571,2,1285.5,41,1867,4000,1e-12,6370102506,32x32x32__32x32x32__2571ss2__RS.jld
42415,32,1325.46875,37,1777,4000,1e-12,6370102506,32x32x32__32x32x32__42415ss32__RS.jld
21867,16,1366.6875,34,1907,4000,1e-12,6370102506,32x32x32__32x32x32__21867ss16__RS.jld
45093,32,1409.15625,42,1997,4000,1e-12,6370102506,32x32x32__32x32x32__45093ss32__RS.jld
46495,32,1452.96875,45,1894,4000,1e-12,6370102506,32x32x32__32x32x32__46495ss32__RS.jld
47941,32,1498.15625,39,1891,4000,1e-12,6370102506,32x32x32__32x32x32__47941ss32__RS.jld
6179,4,1544.75,40,2026,4000,1e-12,8493468906,32x32x32__32x32x32__6179ss4__RS.jld
50969,32,1592.78125,37,1978,4000,1e-12,6370102506,32x32x32__32x32x32__50969ss32__RS.jld
52553,32,1642.28125,46,2025,4000,1e-12,6370102506,32x32x32__32x32x32__52553ss32__RS.jld
54187,32,1693.34375,46,1876,4000,1e-12,6370102506,32x32x32__32x32x32__54187ss32__RS.jld
1746,1,1746,53,1859,4000,1e-12,6370102506,32x32x32__32x32x32__1746ss1__RS.jld
57609,32,1800.28125,42,1941,4000,1e-12,6370102506,32x32x32__32x32x32__57609ss32__RS.jld
7425,4,1856.25,44,1847,4000,1e-12,6370102506,32x32x32__32x32x32__7425ss4__RS.jld
61247,32,1913.96875,36,1938,4000,1e-12,6370102506,32x32x32__32x32x32__61247ss32__RS.jld
3947,2,1973.5,42,1791,4000,1e-12,6370102506,32x32x32__32x32x32__3947ss2__RS.jld
65115,32,2034.84375,42,1774,4000,1e-12,6370102506,32x32x32__32x32x32__65115ss32__RS.jld
16785,8,2098.125,41,1913,4000,1e-12,6370102506,32x32x32__32x32x32__16785ss8__RS.jld
69227,32,2163.34375,60,1831,4000,1e-12,6370102506,32x32x32__32x32x32__69227ss32__RS.jld
17845,8,2230.625,46,1988,4000,1e-12,6370102506,32x32x32__32x32x32__17845ss8__RS.jld
73599,32,2299.96875,50,1990,4000,1e-12,6370102506,32x32x32__32x32x32__73599ss32__RS.jld
75887,32,2371.46875,59,1862,4000,1e-12,6370102506,32x32x32__32x32x32__75887ss32__RS.jld
78247,32,2445.21875,55,1657,4000,1e-12,6370102506,32x32x32__32x32x32__78247ss32__RS.jld
10085,4,2521.25,43,1808,4000,1e-12,6370102506,32x32x32__32x32x32__10085ss4__RS.jld
20797,8,2599.625,46,1781,4000,1e-12,6370102506,32x32x32__32x32x32__20797ss8__RS.jld
85775,32,2680.46875,49,1701,4000,1e-12,6370102506,32x32x32__32x32x32__85775ss32__RS.jld
44221,16,2763.8125,42,1831,4000,1e-12,6370102506,32x32x32__32x32x32__44221ss16__RS.jld
91191,32,2849.71875,48,2016,4000,1e-12,6370102506,32x32x32__32x32x32__91191ss32__RS.jld
94027,32,2938.34375,61,1866,4000,1e-12,6370102506,32x32x32__32x32x32__94027ss32__RS.jld
48475,16,3029.6875,63,1934,4000,1e-12,6370102506,32x32x32__32x32x32__48475ss16__RS.jld
99965,32,3123.90625,51,1736,4000,1e-12,6370102506,32x32x32__32x32x32__99965ss32__RS.jld
103073,32,3221.03125,56,1864,4000,1e-12,6370102506,32x32x32__32x32x32__103073ss32__RS.jld
106277,32,3321.15625,63,1859,4000,1e-12,6370102506,32x32x32__32x32x32__106277ss32__RS.jld
54791,16,3424.4375,38,1888,4000,1e-12,6370102506,32x32x32__32x32x32__54791ss16__RS.jld
112989,32,3530.90625,43,1860,4000,1e-12,6370102506,32x32x32__32x32x32__112989ss32__RS.jld
58251,16,3640.6875,50,1779,4000,1e-12,6370102506,32x32x32__32x32x32__58251ss16__RS.jld
30031,8,3753.875,52,1786,4000,1e-12,6370102506,32x32x32__32x32x32__30031ss8__RS.jld
123859,32,3870.59375,47,1839,4000,1e-12,6370102506,32x32x32__32x32x32__123859ss32__RS.jld
63855,16,3990.9375,54,1735,4000,1e-12,6370102506,32x32x32__32x32x32__63855ss16__RS.jld
131681,32,4115.03125,57,2052,4000,1e-12,8493468906,32x32x32__32x32x32__131681ss32__RS.jld
135775,32,4242.96875,53,1895,4000,1e-12,6370102506,32x32x32__32x32x32__135775ss32__RS.jld
139997,32,4374.90625,50,1927,4000,1e-12,6370102506,32x32x32__32x32x32__139997ss32__RS.jld
72175,16,4510.9375,64,1937,4000,1e-12,6370102506,32x32x32__32x32x32__72175ss16__RS.jld
74419,16,4651.1875,43,1934,4000,1e-12,6370102506,32x32x32__32x32x32__74419ss16__RS.jld
76733,16,4795.8125,64,1949,4000,1e-12,6370102506,32x32x32__32x32x32__76733ss16__RS.jld
158237,32,4944.90625,66,1813,4000,1e-12,6370102506,32x32x32__32x32x32__158237ss32__RS.jld
163157,32,5098.65625,44,1768,4000,1e-12,6370102506,32x32x32__32x32x32__163157ss32__RS.jld
84115,16,5257.1875,72,1982,4000,1e-12,6370102506,32x32x32__32x32x32__84115ss16__RS.jld
173461,32,5420.65625,52,1851,4000,1e-12,6370102506,32x32x32__32x32x32__173461ss32__RS.jld
89427,16,5589.1875,68,1866,4000,1e-12,6370102506,32x32x32__32x32x32__89427ss16__RS.jld
184415,32,5762.96875,48,1898,4000,1e-12,6370102506,32x32x32__32x32x32__184415ss32__RS.jld
190149,32,5942.15625,65,1876,4000,1e-12,6370102506,32x32x32__32x32x32__190149ss32__RS.jld
196061,32,6126.90625,68,2031,4000,1e-12,8493468906,32x32x32__32x32x32__196061ss32__RS.jld
202157,32,6317.40625,59,2025,4000,1e-12,6370102506,32x32x32__32x32x32__202157ss32__RS.jld
104221,16,6513.8125,71,1792,4000,1e-12,6370102506,32x32x32__32x32x32__104221ss16__RS.jld
214923,32,6716.34375,46,1916,4000,1e-12,6370102506,32x32x32__32x32x32__214923ss32__RS.jld
221605,32,6925.15625,71,1928,4000,1e-12,6370102506,32x32x32__32x32x32__221605ss32__RS.jld
14281,2,7140.5,52,1884,4000,1e-12,6370102506,32x32x32__32x32x32__14281ss2__RS.jld
14725,2,7362.5,68,1894,4000,1e-12,6370102506,32x32x32__32x32x32__14725ss2__RS.jld
242925,32,7591.40625,55,1687,4000,1e-12,6370102506,32x32x32__32x32x32__242925ss32__RS.jld
125239,16,7827.4375,57,1899,4000,1e-12,6370102506,32x32x32__32x32x32__125239ss16__RS.jld
129133,16,8070.8125,74,1909,4000,1e-12,6370102506,32x32x32__32x32x32__129133ss16__RS.jld
33287,4,8321.75,66,1847,4000,1e-12,6370102506,32x32x32__32x32x32__33287ss4__RS.jld
17161,2,8580.5,56,1916,4000,1e-12,6370102506,32x32x32__32x32x32__17161ss2__RS.jld
283113,32,8847.28125,59,1940,4000,1e-12,6370102506,32x32x32__32x32x32__283113ss32__RS.jld
72979,8,9122.375,63,1837,4000,1e-12,6370102506,32x32x32__32x32x32__72979ss8__RS.jld
9406,1,9406,79,1811,4000,1e-12,6370102506,32x32x32__32x32x32__9406ss1__RS.jld
310351,32,9698.46875,67,2044,4000,1e-12,8493468906,32x32x32__32x32x32__310351ss32__RS.jld
10000,1,10000,68,1984,4000,1e-12,6370102506,32x32x32__32x32x32__10000ss1__RS.jld
